Date,close,MSI,MACD,OSC
2021-01-06,"36,873.24",12.43482094,8.030960681,6.546424177
2021-01-07,"39,501.26",21.92469977,8.696640681,9.489878829
2021-01-08,"40,658.63",29.48378293,9.876105196,7.559083163
2021-01-09,"40,252.75",34.25424038,11.29064266,4.770457452
2021-01-10,"38,173.35",41.71657056,12.65077953,7.462330183
2021-01-11,"35,458.73",45.04314028,14.16753099,3.326569716
2021-01-12,"34,034.27",42.41700195,15.45978308,-2.626138332
2021-01-13,"37,399.41",38.31442893,16.08655891,-4.102573021
2021-01-14,"39,139.71",39.67001711,16.06702921,1.355588185
2021-01-15,"36,760.66",41.58555519,15.9767662,1.915538076
2021-01-16,"36,010.05",41.17027273,15.87678237,-0.4152824586
2021-01-17,"35,822.64",42.76421513,15.58438751,1.593942397
2021-01-18,"36,625.12",44.16807506,15.30485547,1.403859936
2021-01-19,"35,915.73",47.7023952,15.0234234,3.534320133
2021-01-20,"35,502.50",48.3405872,14.91366116,0.6381920004
2021-01-21,"30,839.85",48.49939868,14.70861875,0.158811487
2021-01-22,"33,001.77",42.64754577,14.39302212,-5.851852909
2021-01-23,"32,111.97",42.58583407,13.51492228,-0.06171170369
2021-01-24,"32,291.01",43.17500166,12.66801325,0.5891675857
2021-01-25,"32,271.49",45.9177252,11.90711483,2.74272354
2021-01-26,"32,513.14",44.68802546,11.39406848,-1.229699736
2021-01-27,"30,427.47",43.36805232,10.76416646,-1.319973139
