Date,close,Index (MSI),MACD
9-3-2019,"3,917.53",12.11,31.01
10-3-2019,"3,898.96",16.09,30.08
11-3-2019,"3,850.20",18.96,29.32
12-3-2019,"3,861.24",19.18,28.63
13-3-2019,"3,850.97",22.92,27.77
14-3-2019,"3,854.62",24.66,27.09
15-3-2019,"3,901.30",27.68,26.38
16-3-2019,"3,989.80",33.48,25.76
17-3-2019,"3,965.74",39.13,25.45
18-3-2019,"3,969.92",42.61,25.37
19-3-2019,"4,000.07",42.84,25.29
20-3-2019,"4,031.89",44.27,24.96
21-3-2019,"3,973.60",47.42,24.53
22-3-2019,"3,983.66",45.74,24.17
23-3-2019,"3,982.73",45.83,23.47
24-3-2019,"3,970.09",47.63,22.67
25-3-2019,"3,908.16",46.08,21.92
26-3-2019,"3,920.73",40.39,20.96
27-3-2019,"4,026.30",35.47,19.52
28-3-2019,"4,012.50",36.54,17.77
29-3-2019,"4,088.16",36.33,16.29
30-3-2019,"4,093.50",35.63,14.93
31-3-2019,"4,095.32",34.20,13.63
1-4-2019,"4,136.92",34.76,12.34
2-4-2019,"4,902.07",37.53,11.24
3-4-2019,"4,975.84",45.26,10.47
4-4-2019,"4,906.95",50.09,10.36
5-4-2019,"5,039.87",51.93,10.55
6-4-2019,"5,044.89",57.50,10.72
7-4-2019,"5,193.97",59.53,11.17
8-4-2019,"5,286.60",64.22,11.57
9-4-2019,"5,191.40",64.67,12.12
10-4-2019,"5,320.65",61.08,12.44
11-4-2019,"5,041.97",57.66,12.27
12-4-2019,"5,081.23",49.11,11.73
13-4-2019,"5,066.23",44.50,10.48
14-4-2019,"5,161.73",39.29,9.02
15-4-2019,"5,032.24",38.60,7.36
16-4-2019,"5,203.27",32.87,5.91
17-4-2019,"5,232.93",32.56,4.26
18-4-2019,"5,282.15",31.29,2.89
19-4-2019,"5,288.23",32.50,1.68
20-4-2019,"5,319.15",32.53,0.81
21-4-2019,"5,296.64",32.04,0.13
22-4-2019,"5,387.10",26.32,-0.45
23-4-2019,"5,531.93",22.66,-1.36
24-4-2019,"5,442.55",16.16,-2.34
25-4-2019,"5,133.62",4.99,-3.61
26-4-2019,"5,152.02",-10.24,-5.45
27-4-2019,"5,170.55",-21.65,-8.04
28-4-2019,"5,157.28",-28.45,-10.89
29-4-2019,"5,149.06",-36.86,-13.55
30-4-2019,"5,269.56",-48.32,-16.14
1-5-2019,"5,323.21",-52.91,-18.90
2-5-2019,"5,389.01",-58.72,-21.22
3-5-2019,"5,658.98",-62.34,-23.25
4-5-2019,"5,766.92",-62.07,-24.87
5-5-2019,"5,714.35",-65.67,-25.84
6-5-2019,"5,686.85",-70.87,-26.58
7-5-2019,"5,747.25",-75.00,-27.28
8-5-2019,"5,941.00",-81.51,-27.85
9-5-2019,"6,151.84",-86.61,-28.49
10-5-2019,"6,350.47",-93.78,-29.08
11-5-2019,"7,218.77",-96.19,-29.78
12-5-2019,"6,976.07",-93.21,-30.18
13-5-2019,"7,818.49",-95.04,-29.91
14-5-2019,"7,991.53",-92.18,-29.51
15-5-2019,"8,203.37",-87.02,-28.63
16-5-2019,"7,880.26",-76.72,-27.20
17-5-2019,"7,356.83",-70.27,-24.95
18-5-2019,"7,262.96",-69.55,-22.39
19-5-2019,"8,196.84",-70.53,-20.07
20-5-2019,"8,003.54",-65.46,-18.10
21-5-2019,"7,953.31",-64.75,-15.95
22-5-2019,"7,623.38",-61.06,-14.02
23-5-2019,"7,880.26",-62.14,-12.06
24-5-2019,"8,001.27",-59.50,-10.47
25-5-2019,"8,067.46",-55.90,-8.90
26-5-2019,"8,737.82",-52.38,-7.27
27-5-2019,"8,775.72",-46.05,-5.64
28-5-2019,"8,719.96",-36.96,-3.79
29-5-2019,"8,662.06",-28.34,-1.57
30-5-2019,"8,275.20",-21.58,0.87
31-5-2019,"8,542.59",-20.84,3.31
1-6-2019,"8,557.81",-14.94,5.25
2-6-2019,"8,739.82",-11.97,7.18
3-6-2019,"8,110.65",-6.22,8.84
4-6-2019,"7,672.33",-6.81,10.51
5-6-2019,"7,788.49",-11.73,11.64
6-6-2019,"7,804.09",-12.62,12.01
7-6-2019,"8,000.72",-12.77,12.08
8-6-2019,"7,931.87",-8.07,11.99
9-6-2019,"7,638.28",-6.66,12.16
10-6-2019,"8,020.26",-10.07,12.27
11-6-2019,"7,919.83",-7.28,11.94
12-6-2019,"8,174.93",-7.00,11.77
13-6-2019,"8,242.68",-3.87,11.52
14-6-2019,"8,697.18",-2.52,11.45
15-6-2019,"8,856.88",-1.40,11.37
